SG_UF_PROVA;NU_NOTA_MT
MG;
AL;461.5
SP;
CE;659.5
CE;582.6
CE;
RS;
SP;
MG;493.4
BA;413.3
GO;796.7
RN;514.9
PA;509.7
RJ;
BA;
MT;445.8
PE;553.1
GO;608.5
MA;537.2
PE;629.5
PA;439.1
BA;446.2
PA;590.9
GO;
RO;468.3
SE;583.0
PR;411.5
BA;386.6
MG;528.7
MA;694.7
MT;427.0
SP;535.7
BA;579.6
BA;423.0
SP;505.0
MT;366.8
CE;656.1
PB;492.9
PI;
BA;379.5
MG;473.9
SP;619.7
RJ;675.6
BA;586.8
MG;
ES;570.2
SP;556.9
ES;599.3
MG;
BA;
PE;404.0
ES;579.4
PR;
SP;410.5
BA;
BA;469.6
RJ;771.0
PE;506.3
CE;667.1
ES;726.1
RJ;
PB;469.4
BA;450.4
SP;724.7
RS;
MT;517.4
RS;487.8
DF;503.0
RJ;439.3
PE;
SP;
SP;440.3
GO;
PB;472.7
MG;
SP;710.3
PE;644.1
GO;432.2
CE;422.3
MG;770.3
CE;623.3
SP;644.3
PE;750.0
MG;
MG;
RN;386.4
SP;389.0
PA;
MT;402.6
CE;485.5
PB;
GO;
CE;
RJ;450.3
RO;463.9
BA;
BA;479.3
RS;474.9
PE;619.9
GO;423.3
SP;
BA;729.2
PA;657.6
RS;441.7
CE;613.7
MG;848.9
PI;
BA;513.7
PB;722.1
PR;753.6
RJ;
BA;522.1
MG;442.1
GO;394.3
PE;571.0
RS;677.8
DF;
SP;
ES;
BA;399.4
SP;
BA;453.1
MG;
MA;487.0
SP;491.4
BA;492.9
PE;470.2
RS;549.1
BA;
BA;524.5
MA;
GO;
TO;489.1
RN;
BA;412.1
MA;573.8
BA;458.3
BA;419.5
PB;523.2
PB;
PA;511.0
SP;
SP;600.9
MG;744.8
MG;536.6
BA;435.1
GO;482.9
MA;
PA;497.5
DF;503.3
AL;
SP;
RJ;443.1
RN;571.4
AL;466.3
RJ;583.6
RJ;
MA;430.3
PB;483.7
RS;627.2
RJ;659.8
PE;406.4
BA;
PB;
RJ;
BA;
BA;622.3
RJ;610.7
PR;667.2
SP;459.1
MA;420.9
RN;485.2
SP;
SP;
SP;409.7
GO;
ES;600.3
MG;752.7
CE;561.4
CE;424.8
MG;398.4
MG;
SP;660.9
PE;626.7
SE;528.1
MA;425.7
SP;500.2
BA;417.6
RS;457.6
RS;
MT;589.4
MG;655.0
DF;
CE;744.9
SP;
RN;503.4
CE;448.6
PA;486.2
PE;446.8
CE;
RJ;542.9
CE;691.7
SP;
RS;
RJ;517.8
MA;
PI;521.6
CE;503.2
GO;410.8
RN;506.5
RJ;
PB;
RS;386.3
MA;384.6
GO;694.3
PA;405.0
GO;
AM;584.2
CE;553.9
PR;636.2
BA;639.8
SE;
ES;619.4
BA;527.5
RN;546.4
