SG_UF_PROVA;NU_NOTA_MT
CE;427.1
SC;689.2
PR;456.4
SP;629.1
MA;
RN;
PA;525.1
RN;496.7
MG;
SP;665.3
PB;382.4
MT;
BA;504.0
BA;506.0
PA;400.5
SC;
SE;693.6
PE;376.6
CE;
MA;465.2
RS;
PB;
PE;391.0
MA;429.8
PA;520.7
PR;
MT;
RS;465.7
RO;555.6
ES;553.0
RS;
PA;483.8
RS;590.9
RJ;618.2
SP;382.4
SC;
SP;538.3
AM;
SE;
SP;591.4
SP;786.1
MT;705.1
AP;448.3
DF;534.0
PI;381.8
ES;
TO;
BA;458.4
RS;
PR;587.8
MA;413.8
AM;456.1
CE;514.9
SP;
CE;495.0
SP;620.7
AL;
RJ;
PA;417.8
PE;
CE;
PE;468.0
RJ;576.4
SP;451.4
AM;429.7
DF;
PI;432.0
MG;777.3
DF;
ES;734.4
MG;614.0
SE;495.0
SP;616.5
GO;
BA;429.6
SP;699.7
PA;
PB;636.5
CE;543.7
PA;396.4
RJ;
DF;410.6
MG;491.7
PE;532.4
SP;430.0
MG;
RR;
SP;711.7
PB;373.2
GO;
CE;522.4
MG;464.7
MA;
DF;
CE;
SC;
MS;753.5
RS;479.3
SP;645.5
CE;
AM;420.0
MG;391.1
PB;644.2
RS;
RN;
BA;661.0
MT;463.9
RS;
MG;
SP;595.1
RJ;
SP;404.0
MG;693.5
CE;562.4
RS;675.2
PR;
PI;483.9
PB;884.8
MG;429.1
MG;465.0
AL;398.0
RS;
MG;634.6
RS;
BA;419.9
SP;547.0
MA;449.8
PR;
PI;
GO;516.9
MG;590.9
RS;
PI;454.2
MG;
MG;561.0
PR;719.5
AC;402.0
SP;645.1
PI;
RN;455.4
MG;405.4
PB;
AM;
PE;
AM;432.5
PE;382.6
SP;539.2
CE;612.8
SE;689.3
MG;
MT;
PE;
BA;
MG;424.7
SP;661.0
MA;446.7
MS;412.2
CE;631.9
MT;618.0
CE;796.2
MA;468.8
AL;853.5
BA;407.0
SP;673.9
PE;
MT;
MG;594.7
MG;
PE;403.7
PB;431.4
AC;412.7
GO;575.0
PE;
BA;
SP;413.7
SE;
RS;494.0
BA;384.5
MA;
GO;615.9
RS;
RJ;
MG;395.2
RS;
MA;433.7
PA;464.0
MG;
RJ;533.2
RJ;
RJ;
PR;
PR;815.8
BA;433.2
RJ;433.4
SP;
SP;494.3
SE;445.6
SC;569.4
PA;479.2
RJ;642.1
SP;
SC;548.3
BA;386.8
MG;634.3
CE;406.4
PE;675.9
MA;459.6
SP;594.3
PR;464.9
RJ;542.6
BA;565.4
PA;505.7
SP;552.2
SP;664.2
CE;884.4
MG;
PE;
MA;445.9
BA;401.2
RS;
PA;463.0
MG;
BA;886.9
TO;399.3
MG;374.9
RN;378.1
BA;
PE;689.8
BA;666.0
RJ;383.6
BA;658.9
SP;
MA;751.9
RJ;406.4
RS;607.0
AP;
MA;741.4
RJ;
SC;437.6
SP;
ES;
RJ;598.4
BA;429.8
RO;726.2
